id,original_title,title,bag_of_words
0,Heat,Heat,Action Crime Drama Thriller English Español RegencyEnterprises ForwardPass WarnerBros. AlPacino RobertDeNiro ValKilmer JonVoight TomSizemore DianeVenora AmyBrenneman MichaelMann MichaelMann robbery detective bank obsession chase shooting thief honor murder suspense heist betrayal money gang catandmouse criminalmastermind cultfilm ex-con heistmovie onelastjob loner bankjob neo-noir gunfight crimeepic 
1,Cutthroat Island,Cutthroat Island,Action Adventure English Latin LeStudioCanal+ LaurenceMarkProductions Metro-Goldwyn-Mayer(MGM) CarolcoPictures GeenaDavis MatthewModine FrankLangella MauryChaykin PatrickMalahide StanShaw RexLinn RennyHarlin JamesGorman MichaelFrostBeckner MarcNorman RobertKing exoticisland treasure map ship scalp pirate 
2,Casino,Casino,Drama Crime English UniversalPictures LégendeEntreprises SyalisDA DeFina-Cappa RobertDeNiro SharonStone JoePesci JamesWoods DonRickles AlanKing KevinPollak MartinScorsese MartinScorsese NicholasPileggi NicholasPileggi poker drugabuse 1970s overdose illegalprostitution 
3,Four Rooms,Four Rooms,Crime Comedy English MiramaxFilms ABandApart TimRoth AntonioBanderas JenniferBeals Madonna MarisaTomei BruceWillis QuentinTarantino AllisonAnders AlexandreRockwell RobertRodriguez QuentinTarantino AllisonAnders AlexandreRockwell RobertRodriguez QuentinTarantino hotel newyear'seve witch bet hotelroom sperm losangeles hoodlum womandirector episodefilm 
4,Copycat,Copycat,Drama Thriller English Deutsch RegencyEnterprises NewRegencyPictures SigourneyWeaver HollyHunter WillPatton WilliamMcNamara HarryConnickJr. J.E.Freeman DermotMulroney JonAmiel DavidMadsen AnnBiderman policebrutality psychology policeoperation policeprotection serialkiller psychologist cowardliness 
5,Leaving Las Vegas,Leaving Las Vegas,Drama Romance English UnitedArtists IntialProductions NicolasCage ElisabethShue JulianSands RichardLewis StevenWeber KimAdams EmilyProcter MikeFiggis MikeFiggis JohnO'Brien individual prostitute alcohol casino loveatfirstsight lovesickness filmproducer screenwriter hotelroom dyinganddeath rageandhate unsociability alcoholism losangeles alcoholabuse attemptedsuicide 
6,La Cité des Enfants Perdus,The City of Lost Children,Fantasy ScienceFiction Adventure 广州话/廣州話 Français Procirep ConstellationProductions France3Cinéma ClaudieOssardProductions Eurimages MEDIAProgrammeoftheEuropeanUnion Cofimage5 TelevisiónEspañola(TVE) TeleMünchenFernsehProduktionsgesellschaft(TMG) Clubd'InvestissementMédia Canal+España ElíasQuerejetaProduccionesCinematográficasS.L. CentreNationaldelaCinématographie(CNC) VictoiresProductions Constellation LumièrePictures Canal+ StudioImage Cofimage4 Ossane PhoenixImages RonPerlman DominiquePinon JudithVittet DanielEmilfork Jean-ClaudeDreyfus GenevièveBrunet OdileMallet Jean-PierreJeunet Jean-PierreJeunet MarcCaro MarcCaro GillesAdrien clone dream island eye dystopia aging friendship rescue children girl childhood 
7,Twelve Monkeys,Twelve Monkeys,ScienceFiction Thriller Mystery English Français UniversalPictures AtlasEntertainment Classico BruceWillis MadeleineStowe BradPitt ChristopherPlummer DavidMorse JonSeda FrankGorshin TerryGilliam DavidWebbPeoples JanetPeoples schizophrenia philadelphia cassandrasyndrom stockholmsyndrome timetravel post-apocalyptic dystopia lethalvirus monkey subterranean 
8,To Die For,To Die For,Fantasy Drama Comedy Thriller English TheRankOrganisation ColumbiaPicturesCorporation NicoleKidman MattDillon JoaquinPhoenix CaseyAffleck IlleanaDouglas AlisonFolland DanHedaya GusVanSant JoyceMaynard BuckHenry adultery winter obsession television newhampshire narcissisticpersonalitydisorder 
9,Se7en,Se7en,Crime Mystery Thriller English NewLineCinema JunoPix CecchiGoriPictures BradPitt MorganFreeman GwynethPaltrow JohnC.McGinley KevinSpacey R.LeeErmey RichardRoundtree DavidFincher AndrewKevinWalker self-fulfillingprophecy detective s.w.a.t. drugdealer evisceration lustandimpulsiveness rageandhate prideandvanity immoderateness insomnia investigation pension police serialkiller 
